Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Part#,manf#,LCSC#,Supplier ,DNP
25,,SW_Push-MeowMeow-Meow-Meow-rescue-Meow-Meow-rescue-Meow-Meow-rescue,SW1,RESET,SW_SPST_TL3342,1, ,,,TS-1187A-C-C-B,C318889,LCSC,
26,,AP2114-HA,U2,AP2114-HA,SOT-223,1, ,,,AP2114HA3.3TRG1,,Mouser,
27,"SAM L21 Microchip SMART ARM-based Flash MCU, 48Mhz, 256K Flash, 32K SRAM, TQFP48",ATSAML21G18B-AUT,U3,ATSAML21G18B-AUT,TQFP-48_7x7mm_P0.5mm,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/60001477A.pdf,,ATSAML21G18B-AUT,,Mouser,
28,"SAM L21 Microchip SMART ARM-based Flash MCU, 48Mhz, 256K Flash, 32K SRAM, QFN48",ATSAML21G18B-MUT,U1,ATSAML21G18B-MUT,QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/60001477A.pdf,,ATSAML21G18B-MUT,,Mouser,Yes





Project info:
Schematic:,working
Variant:,default
Revision:,3.1
Date:,2022-05-30
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,28
Component Count:,32 (20 SMD/ 11 THT)
Fitted Components:,32 (20 SMD/ 11 THT)
Number of PCBs:,1
Total Components:,32
