Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Champ4,Sim.Device,Sim.Pins
17,"General purpose signal relay, Kemet EC2 Series, DPDT (2 Form C), non-latching, through hole, 60W/125VA, 220VDC/250VAC, 2A, 12V DC coil",EC2-12NU,K1 K2 K3 K4 K5 K6 K7 K8 K9 K10 K11 K12 K13 K14 K15 K16 K17 K18 K19 K20 K21 K22 K23 K24 K25 K26 K27 K28 K29 K30,EC2-12NU,Relay_DPDT_Kemet_EC2,30, ,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,,,
18,"Inductor, small symbol",L_Small,L27 L28,150n,T50_V_THT_1812_merge,2, ,~,,,
19,"Inductor, small symbol",L_Small,L29 L30,150n,L_1812_4532Metric_Pad1.30x3.40mm_HandSolder,2, ,~,,,
20,"Inductor, small symbol",L_Small,L21 L22 L31 L32,330n,T50_V_THT_1812_merge,4, ,~,,,
21,"Inductor, small symbol",L_Small,L23 L24 L33 L34,330n,L_1812_4532Metric_Pad1.30x3.40mm_HandSolder,4, ,~,,,
22,"Inductor, small symbol",L_Small,L15 L16 L25,680n,T50_V_THT_1812_merge,3, ,~,,,
23,"Inductor, small symbol",L_Small,L17 L18 L26,680n,L_1812_4532Metric_Pad1.30x3.40mm_HandSolder,3, ,~,,,
24,"Inductor, small symbol",L_Small,L19,1u,T50_V_THT_1812_merge,1, ,~,,,
25,"Inductor, small symbol",L_Small,L20,1u,L_1812_4532Metric_Pad1.30x3.40mm_HandSolder,1, ,~,,,
26,"Inductor, small symbol",L_Small,L9 L10 L13,1.8u,T50_V_THT_1812_merge,3, ,~,,,
27,"Inductor, small symbol",L_Small,L11 L12 L14,1.8u,L_1812_4532Metric_Pad1.30x3.40mm_HandSolder,3, ,~,,,
28,"Inductor, small symbol",L_Small,L7,2.7u,T50_V_THT_1812_merge,1, ,~,,,
29,"Inductor, small symbol",L_Small,L8,2.7u,L_1812_4532Metric_Pad1.30x3.40mm_HandSolder,1, ,~,,,
30,"Inductor, small symbol",L_Small,L1 L2 L5,10u,T50_V_THT_1812_merge,3, ,~,,,
31,"Inductor, small symbol",L_Small,L3 L4 L6,10u,L_1812_4532Metric_Pad1.30x3.40mm_HandSolder,3, ,~,,,
32,"-27A Id, -60V Vds, QFET P-Channel MOSFET, TO-220",FQP27P06,Q1 Q2,BSP250 /ZVP2106,SOT-223-3_TabPin2,2, ,https://www.onsemi.com/pub/Collateral/FQP27P06-D.PDF,,,
33,"Resistor, small symbol",R_Small,R2 R5,30R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2, ,~,,,
34,"Resistor, small symbol",R_Small,R7 R8 R9 R10 R11 R12,62R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6, ,~,,,
35,"Resistor, small symbol",R_Small,R1 R3 R4 R6 R15 R16 R17 R18,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8, ,~,,,
36,"Resistor, small symbol",R_Small,R13 R14,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2, ,~,,,
37,"50-4000MHz +11dB Low Noise Amplifier, SOT-89",PGA-103,U1 U2,PGA-103,SOT-89-3,2, ,https://www.minicircuits.com/pdfs/PGA-103+.pdf,,,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-58
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,37
Component Count:,262 (2 SMD/ 0 THT)
Fitted Components:,262 (2 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,262
